Fund ID,Fund Description,Country,PrID,Institution,Project Description, USD ," EUR                  2025 1,1 "
79,Theological Formation,KENYA,2501470,Diocese of Eldoret,Ongoing formation of the clergy in Eldoret - 2025 to 2026," $11,000 "," 10,000.00 € "
29,Transportation,BENIN,2501571,Institut des Pauvres Filles de la Visitation de Marie,"Vehicle for the Poor Daughters of the Visitation of Mary, Banikoara Parish"," $25,709 "," 23,371.67 € "
79,Theological Formation,CAMEROON,2501576,Diocese of Kumbo,Ongoing formation for 138 priests in the diocese of Kumbo 2025," $13,750 "," 12,500.00 € "
39,Subsistence Aid,BURUNDI,2502251,Soeurs Visitandines,Existence aid for the 37 Sisters of the Visitation of Ruyigi," $11,000 "," 10,000.00 € "
49,Pastoral Aid,LEBANON,2502352,Assembly of Catholic Patriarchs and Bishops - A.P.E.C.L. (Assemblée des Patriarches et des Evêques-Bishops' Conference),"76 Pastoral Summer camps for 2300 People (incl. handicapped) from The Faith and Light Community - All governorates, July 2025/  September 2025"," $30,000 "," 27,027.03 € "
29,Transportation,BENIN,2502395,Soeurs Missionnaires de Sainte Thérèse de l'Enfant Jésus,Toyota Hilux 4x4 double cab for the Sisters' mission in Abitanga," $25,850 "," 23,500.00 € "
49,Pastoral Aid,MOZAMBIQUE,2502536,Diocese de Pemba,Spiritual assistance for people displaced by armed attacks in Cabo Delgado," $38,500 "," 35,000.00 € "
59,Humanitarian Aid,PAKISTAN,2502538,"La Salle Brothers Pakistan, FSC","Maintenance and Renovation of St. Benildus Literacy School and School of Cooking  under National Catechists Training Centre (NCTC), Khushpur  -  REOPENED :  for the most urgent works"," $24,750 "," 22,500.00 € "
39,Subsistence Aid,BURUNDI,2502585,"Soeurs Adoratrices de la Sainte Trinité
Monastère Marie Reine de la Paix",Existence aid for the Sisters Adorers of the Holy Trinity," $14,300 "," 13,000.00 € "
39,Subsistence Aid,DEM.REP. CONGO,2502596,Monastère du Carmel du Saint Enfant Jésus de Malole (Moniales Carmélites Déchaussées),"Existence aid for 18 sisters of the Congrégation des Carmélites Déchaussées in Malole, Monastère du Saint Enfant Jésus"," $11,000 "," 10,000.00 € "
49,Pastoral Aid,PALESTINE,2502649,"Latin Patriarchate  - Jerusalem (LPJ) (for Israel, Palestine, Jordan, Cyprus)",Pilgrimage of 75 youth of the Youth of Jesus Homeland to Rome for the 2025 Jubilee Year," $41,250 "," 37,500.00 € "
79,Theological Formation,PERU,2502760,Arzobispado de Huancayo,"Formation of 27 Seminarians at St. Pius X Major Seminary, 2025"," $18,000 "," 16,216.22 € "
79,Theological Formation,BOLIVIA,2502763,Comunidad Misionera de Cristo Pastor,"Philosophical, Theological and Spiritual Formation of 10 seminarians and Support of the Public Association of Clergy ""Missionary Community of Christ the Shepherd"", 2025."," $15,000 "," 13,513.51 € "
39,Subsistence Aid,MALI,2502836,Diocèse de Segou,Existence aid for 28 sisters serving in the diocese of Ségou," $20,174 "," 18,340.00 € "
79,Theological Formation,MADAGASCAR,2502888,Diocèse de Tolagnaro,Formation of 34 major seminarians of the diocese of Tolagnaro 2024-2025," $19,360 "," 17,600.00 € "
59,Humanitarian Aid,LEBANON,2502914,Congregation des Soeurs de Saint Joseph de Lyon (Liban),Christmas gifts for 12.000 children and Youth cared for by the sisters of St Joseph de Lyon - 2025/ 2026," $100,000 "," 90,090.09 € "
79,Theological Formation,PAKISTAN,2502930,"La Salle Brothers Pakistan, FSC","Formation of 66 residential candidates for catechists from 6 dioceses at St. Albert´s National Training Center, Khushpur - 2025"," $15,950 "," 14,500.00 € "
79,Theological Formation,NIGERIA,2502941,Sisters of St. Michael the Archangel (SSMA),"Annual Retreat for 145 Sisters of St Michael the Archangel, Ekiti, September and October 2025"," $11,000 "," 10,000.00 € "
39,Subsistence Aid,UKRAINE,2502960,Kyivska Arkhyeparkhiya,Subsistence aid for 35 nuns of the Kyiv archparish for 2025," $38,500 "," 35,000.00 € "
59,Humanitarian Aid,SYRIA,2503016,Diocèse d'Alep des Chaldéens (Aleppo and all Syria - CLD),"Medical aid for 1800 sick people from all rites in Aleppo by the Joint Catholic Committee - (Aleppo, June 2025 - May 2026)."," $110,000 "," 100,000.00 € "
39,Subsistence Aid,UKRAINE,2503124,Sluzhebnytsi Hospoda ta Divy Mariyi z Matara,Subsistence aid for 11 contemplative sisters of the Servants of the Lord and the Virgin Mary of Matara in Burshtyn and Danylovo for 2025," $12,100 "," 11,000.00 € "
19,Construction,PAKISTAN,2503366,"Good Shepherd Convent 
Diocese of Multan","Repair and Renovation of Good Shepherd Convent in Nagashband Colony, Multan"," $14,850 "," 13,500.00 € "
49,Pastoral Aid,UKRAINE,2503492,Kyivsko-Zhytomyrska Dietseziya,"Holidays with God for children, young people and families in the Kyiv-Zhytomyr diocese for 2025"," $55,000 "," 50,000.00 € "
39,Subsistence Aid,UKRAINE,2503529,Odesko-Simferopolska Dietseziya,Emergency aid for 12 priests and 3 sisters on the Krym for 2025," $16,500 "," 15,000.00 € "
39,Subsistence Aid,UKRAINE,2503721,Sister Servants of Mary Immaculate,Subsistence aid for 10 Sisters of Mary Immaculate in Transcarpathia," $11,000 "," 10,000.00 € "
79,Theological Formation,PERU,2503835,Seminario Diocesano Corazón de Cristo,"Formation of 26 seminarians at the Heart of Christ Diocesan Seminary, 2025"," $18,600 "," 16,756.76 € "
79,Theological Formation,PHILIPPINES,2503914,Emmaus Dialogue Community Inc.,"On-going formation of two members of the Emmaus Dialogue community, 3 years 2025 - 2028"," $11,000 "," 10,000.00 € "
29,Transportation,UKRAINE,2504085,Mukachivska Eparkhiya,Car for the bishop of the Eparchy of Mukachevo," $33,000 "," 30,000.00 € "
39,Subsistence Aid,UKRAINE,2504091,"Abatstvo sester BENEDYKTYNEK              
Neporochnoho Zachattya PDM",Subsistence aid for 15 cloistered Benedictine nuns in Zhytomyr for 2025," $16,500 "," 15,000.00 € "
79,Theological Formation,INDIA,2504487,"Holy Spirit Sisters, OSS  
Atmadhara Region","Formation for 11 Novices (5 second year and 6 first year) and 11 Juniorate Sisters of Atmadhara and Jeevadhara Region of the Holy Spirit Sisters in the Opus Spiritus Sancti (OSS), India  (2025 - 2026)"," $11,000 "," 10,000.00 € "
39,Subsistence Aid,UKRAINE,2504727,ODESKYI EKZARKHAT,Emergency aid for 46 priests and 11 sisters of the Odesa Exarchate for 2025," $31,350 "," 28,500.00 € "
59,Humanitarian Aid,SYRIA,2404812,Greek Orthodox Archdioceses of Damascus & Homs - Patriarchate of Antioch and all the East (Larissa),(ORT) Tuition Fees Support for 1300 students attending 7 schools belonging to the Greek Orthodox Archdiocese of  Damascus - academic year 2024/ 2025," $68,200 "," 62,000.00 € "
59,Humanitarian Aid,SYRIA,2400620,"Compagnie de Jésus au Proche-Orient  
Jesuit Fathers","Medical aid for 3000 sick Christian people organised by the Jesuit congregation - (Homs, May 2024 - April 2025)."," $49,500 "," 45,000.00 € "
59,Humanitarian Aid,IRAQ,2405331,Chaldean Archdiocese of Mosul (Mossul CLD),Further assistance towards the renovation of St Barbara Kindergarten - Karemless (co-financing)," $24,000 "," 21,621.62 € "
,,,,,,,
